Id,SentimientoGeneral,AspectosPositivos,AspectosNegativos,Dificultad,GeneroPercibido,HorasJugadas,Recomendado
0,Negativo,[],"['misiones secundarias repetitivas', 'IA deficiente', 'final decepcionante', 'historia predecible']",Demasiado Difícil,Deportes,10,0
1,Positivo,"['gráficos impresionantes', 'personalización de personaje amplia', 'libertad de elección']",[],No Mencionado,Deportes,70,1
2,Positivo,"['personajes memorables', 'misiones secundarias interesantes', 'actuación de voz sobresaliente', 'boss fights épicos']",[],Fácil,Estrategia,120,1
3,Positivo,"['atmósfera inmersiva', 'boss fights épicos', 'historia envolvente', 'gran rejugabilidad', 'mundo abierto detallado']",[],Difícil,Acción,100,1
4,Neutral,"['banda sonora excelente', 'historia envolvente', 'diseño de niveles fantástico']","['falta de personalización', 'historia predecible']",Fácil,Acción,200,0
5,Positivo,"['libertad de elección', 'boss fights épicos', 'banda sonora excelente', 'personajes memorables']",[],Demasiado Difícil,Estrategia,50,1
6,Negativo,['historia envolvente'],"['microtransacciones abusivas', 'problemas de rendimiento', 'mundo vacío y sin vida']",Difícil,Simulación,20,0
7,Positivo,"['sistema de progresión profundo', 'gran rejugabilidad', 'combate fluido y satisfactorio', 'boss fights épicos']",[],Fácil,Estrategia,80,1
8,Negativo,['combate fluido y satisfactorio'],"['duración excesiva y repetitiva', 'interfaz poco intuitiva', 'historia predecible', 'problemas de rendimiento', 'IA deficiente']",Fácil,Aventura,300,0
9,Negativo,['gran rejugabilidad'],"['duración excesiva y repetitiva', 'curva de aprendizaje frustrante', 'final decepcionante', 'bugs y glitches frecuentes', 'IA deficiente']",No Mencionado,Simulación,120,0
10,Positivo,"['boss fights épicos', 'multijugador divertido', 'personajes memorables', 'narrativa bien escrita', 'mundo abierto detallado']",[],No Mencionado,Simulación,más de 1000,1
11,Negativo,[],"['final decepcionante', 'duración excesiva y repetitiva', 'bugs y glitches frecuentes', 'mundo vacío y sin vida']",Difícil,RPG,30,0
12,Neutral,"['narrativa bien escrita', 'banda sonora excelente']",['historia predecible'],No Mencionado,Otro,20,1
13,Neutral,"['optimización técnica', 'personalización de personaje amplia', 'personajes memorables']",['curva de aprendizaje frustrante'],Demasiado Difícil,Deportes,60,1
14,Neutral,"['variedad de habilidades', 'sistema de progresión profundo', 'atmósfera inmersiva']","['falta de innovación respecto a anteriores entregas', 'duración excesiva y repetitiva', 'sistema de guardado deficiente']",Demasiado Fácil,Estrategia,70,1
15,Positivo,"['narrativa bien escrita', 'diseño de niveles fantástico']","['bugs y glitches frecuentes', 'historia predecible']",No Mencionado,RPG,70,1
16,Positivo,"['diseño de niveles fantástico', 'boss fights épicos']",['interfaz poco intuitiva'],Fácil,Aventura,varias días,1
17,Positivo,"['mundo abierto detallado', 'misiones secundarias interesantes', 'atmósfera inmersiva', 'narrativa bien escrita', 'multijugador divertido']",['falta de innovación respecto a anteriores entregas'],No Mencionado,RPG,30,1
18,Positivo,"['libertad de elección', 'personalización de personaje amplia', 'gran rejugabilidad', 'combate fluido y satisfactorio']",[],Difícil,Aventura,80,1
19,Negativo,[],"['final decepcionante', 'IA deficiente', 'problemas de rendimiento', 'bugs y glitches frecuentes', 'historia predecible']",Fácil,Aventura,300,0
20,Negativo,[],"['sistema de combate simplificado', 'caída de frames', 'bugs y glitches frecuentes', 'falta de accesibilidad', 'curva de aprendizaje frustrante']",Difícil,Simulación,300,0
21,Negativo,"['variedad de habilidades', 'libertad de elección']","['problemas de rendimiento', 'falta de accesibilidad', 'final decepcionante', 'sistema de guardado deficiente', 'mundo vacío y sin vida']",Demasiado Fácil,RPG,varias días,0
22,Negativo,"['multijugador divertido', 'banda sonora excelente']","['sistema de combate simplificado', 'historia predecible', 'falta de accesibilidad']",No Mencionado,Estrategia,200,1
23,Positivo,"['mecánicas innovadoras', 'banda sonora excelente', 'misiones secundarias interesantes']","['falta de accesibilidad', 'sistema de guardado deficiente']",Demasiado Difícil,Terror,80,1
24,Positivo,"['combate fluido y satisfactorio', 'variedad de habilidades', 'gran rejugabilidad', 'actuación de voz sobresaliente']",[],Demasiado Fácil,RPG,500,1
25,Negativo,"['libertad de elección', 'multijugador divertido']","['curva de aprendizaje frustrante', 'misiones secundarias repetitivas']",Equilibrado,Acción,70,1
26,Positivo,"['variedad de habilidades', 'multijugador divertido', 'gráficos impresionantes']",['final decepcionante'],Equilibrado,Acción,40,1
27,Positivo,"['boss fights épicos', 'variedad de habilidades']","['sistema de guardado deficiente', 'falta de contenido post-lanzamiento']",No Mencionado,Terror,60,1
28,Negativo,['historia envolvente'],"['historia predecible', 'sistema de loot aburrido', 'curva de aprendizaje frustrante', 'problemas de rendimiento', 'bugs y glitches frecuentes']",Equilibrado,Aventura,80,0
29,Positivo,"['personalización de personaje amplia', 'gráficos impresionantes', 'mundo abierto detallado', 'banda sonora excelente', 'combate fluido y satisfactorio']","['final decepcionante', 'problemas de rendimiento']",Equilibrado,Aventura,300,1
30,Positivo,"['historia envolvente', 'atmósfera inmersiva', 'libertad de elección', 'diseño de niveles fantástico']",['IA deficiente'],Equilibrado,Deportes,40,0
31,Neutral,['personajes memorables'],['sistema de loot aburrido'],Demasiado Fácil,Aventura,120,0
32,Negativo,['mundo abierto detallado'],"['caída de frames', 'problemas de rendimiento', 'interfaz poco intuitiva']",Fácil,Estrategia,500,0
33,Positivo,"['libertad de elección', 'sistema de progresión profundo', 'actuación de voz sobresaliente']",[],Equilibrado,Acción,80,1
34,Positivo,"['personalización de personaje amplia', 'actuación de voz sobresaliente', 'gráficos impresionantes', 'mundo abierto detallado', 'boss fights épicos']","['sistema de combate simplificado', 'falta de accesibilidad']",Equilibrado,RPG,30,0
35,Negativo,['multijugador divertido'],"['IA deficiente', 'caída de frames', 'falta de contenido post-lanzamiento', 'curva de aprendizaje frustrante']",Demasiado Fácil,Deportes,,0
36,Negativo,"['banda sonora excelente', 'actuación de voz sobresaliente']","['sistema de guardado deficiente', 'mundo vacío y sin vida', 'IA deficiente']",No Mencionado,Simulación,más de 1000,0
37,Positivo,"['variedad de habilidades', 'personalización de personaje amplia', 'combate fluido y satisfactorio', 'libertad de elección', 'misiones secundarias interesantes']",['caída de frames'],No Mencionado,Aventura,100,1
38,Positivo,"['misiones secundarias interesantes', 'narrativa bien escrita']",['sistema de guardado deficiente'],No Mencionado,Terror,500,1
39,Positivo,"['personajes memorables', 'banda sonora excelente', 'variedad de habilidades']","['duración excesiva y repetitiva', 'mundo vacío y sin vida']",Demasiado Fácil,Estrategia,100,1
40,Positivo,"['diseño de niveles fantástico', 'optimización técnica', 'banda sonora excelente']",[],Difícil,Deportes,60,1
41,Negativo,['combate fluido y satisfactorio'],"['bugs y glitches frecuentes', 'IA deficiente', 'sistema de loot aburrido', 'microtransacciones abusivas', 'sistema de combate simplificado']",No Mencionado,Otro,10,0
42,Negativo,[],"['falta de innovación respecto a anteriores entregas', 'duración excesiva y repetitiva', 'final decepcionante', 'mundo vacío y sin vida', 'sistema de guardado deficiente']",Demasiado Difícil,Deportes,500,1
43,Neutral,"['diseño de niveles fantástico', 'boss fights épicos', 'multijugador divertido']","['interfaz poco intuitiva', 'microtransacciones abusivas']",Equilibrado,Otro,20,1
44,Negativo,[],"['final decepcionante', 'historia predecible', 'misiones secundarias repetitivas', 'sistema de guardado deficiente']",Fácil,Deportes,40,0
